acronym,value,value_mean,value_ipsi,value_contra,value_left,value_right,is_seed,tract_experiment_id
ACA,1.0,1.0,1.0,0.0,1.0,1.0,True,583747816
MOp,0.0007691491572122066,0.0007691491572122066,0.0004923940468709763,0.001045902080756475,0.0004923940468709763,0.001045902080756475,False,583747816
MOs,0.007188795455370716,0.007188795455370716,0.004672057199884492,0.009715866262580303,0.004672057199884492,0.009715866262580303,False,583747816
PL,0.019532096464972434,0.019532096464972434,0.013786242276648654,0.02531468600468032,0.013786242276648654,0.02531468600468032,False,583747816
RSPd,0.0134558319127526,0.0134558319127526,0.008715405590767647,0.018196162192077755,0.008715405590767647,0.018196162192077755,False,583747816
SSs,0.0002628071500714958,0.0002628071500714958,0.0002052913679404145,0.00032032292207835475,0.0002052913679404145,0.00032032292207835475,False,583747816
VISp,0.002663905345378287,0.002663905345378287,0.001664862082531107,0.0036629477709912103,0.001664862082531107,0.0036629477709912103,False,583747816
