acronym,value,value_mean,value_ipsi,value_contra,value_left,value_right,is_seed,tract_experiment_id
DR,0.997818350791931,0.997818350791931,0.997818350791931,0.0,0.997818350791931,0.997818350791931,True,480074702
ACA,0.00402184659314018,0.00402184659314018,0.0037691675191788747,0.004274525667101482,0.004274525667101482,0.0037691675191788747,False,480074702
MOp,0.0198489315559763,0.0198489315559763,0.019322383607250134,0.02037547950470247,0.02037547950470247,0.019322383607250134,False,480074702
MOs,0.018345275300248993,0.018345275300248993,0.017771180441198776,0.01891937015929921,0.01891937015929921,0.017771180441198776,False,480074702
PL,0.012096293098629286,0.012096293098629286,0.01224233549081076,0.011950250706447821,0.011950250706447821,0.01224233549081076,False,480074702
RSPd,0.0006118820849802953,0.0006118820849802953,0.000591538636568514,0.0006322255333920789,0.0006322255333920789,0.000591538636568514,False,480074702
SSs,0.012689364227222945,0.012689364227222945,0.01293561100821151,0.012443117446234383,0.012443117446234383,0.01293561100821151,False,480074702
VISp,0.0009132403608854076,0.0009132403608854076,0.00099717591661588,0.000829304805154935,0.000829304805154935,0.00099717591661588,False,480074702
