acronym,value,value_mean,value_ipsi,value_contra,value_left,value_right,is_seed,tract_experiment_id
AQ,0.387161642313004,0.387161642313004,0.387161642313004,0.0,0.387161642313004,0.387161642313004,True,480074702
VS,0.387161627927724,0.387161627927724,0.387161627927724,0.0,0.387161627927724,0.387161627927724,True,480074702
mfbsma,0.60340216421257,0.60340216421257,0.60340216421257,0.0,0.60340216421257,0.60340216421257,True,480074702
mfbs,0.60340216421257,0.60340216421257,0.60340216421257,0.0,0.60340216421257,0.60340216421257,True,480074702
tsp,0.194727224448826,0.194727224448826,0.194727224448826,0.0,0.194727224448826,0.194727224448826,True,480074702
tspc,0.192373186349869,0.192373186349869,0.192373186349869,0.0,0.192373186349869,0.192373186349869,True,480074702
dtd,0.334186345338821,0.334186345338821,0.334186345338821,0.0,0.334186345338821,0.334186345338821,True,480074702
mtg,0.603402137756348,0.603402137756348,0.603402137756348,0.0,0.603402137756348,0.603402137756348,True,480074702
RL,0.640855550765991,0.640855550765991,0.640855550765991,0.0,0.640855550765991,0.640855550765991,True,480074702
III,0.740388336110919,0.740388336110919,0.740388336110919,0.0,0.740388336110919,0.740388336110919,True,480074702
mfsbshy,0.60340216421257,0.60340216421257,0.60340216421257,0.0,0.60340216421257,0.60340216421257,True,480074702
eps,0.194727224448826,0.194727224448826,0.194727224448826,0.0,0.194727224448826,0.194727224448826,True,480074702
IF,0.634073555469513,0.634073555469513,0.634073555469513,0.0,0.634073555469513,0.634073555469513,True,480074702
IPDM,0.0066388011910021,0.0066388011910021,0.0066388011910021,0.0,0.0066388011910021,0.0066388011910021,True,480074702
RN,0.0266014751884105,0.0266014751884105,0.0266014751884105,0.0,0.0266014751884105,0.0266014751884105,True,480074702
IPA,0.619177103042603,0.619177103042603,0.619177103042603,0.0,0.619177103042603,0.619177103042603,True,480074702
CS,0.373158127069473,0.373158127069473,0.373158127069473,0.0,0.373158127069473,0.373158127069473,True,480074702
IPN,0.602036416530609,0.602036416530609,0.602036416530609,0.0,0.602036416530609,0.602036416530609,True,480074702
AAA,0.06044175879919939,0.06044175879919939,0.0630829872359754,0.057800529745872985,0.057800529745872985,0.0630829872359754,False,480074702
ACA,0.00402184659314018,0.00402184659314018,0.0037691675191788747,0.004274525667101482,0.004274525667101482,0.0037691675191788747,False,480074702
ACAd,0.004914612281594827,0.004914612281594827,0.004556466252747987,0.005272758310441672,0.005272758310441672,0.004556466252747987,False,480074702
ACAd1,0.01052690496358232,0.01052690496358232,0.010433873381225544,0.010619936397961249,0.010619936397961249,0.010433873381225544,False,480074702
ACAd2/3,0.0031603630914204734,0.0031603630914204734,0.0031553761219668985,0.003165350102062771,0.003165350102062771,0.0031553761219668985,False,480074702
ACAd5,0.0032678906405572065,0.0032678906405572065,0.0028079771588181606,0.003727804130903662,0.003727804130903662,0.0028079771588181606,False,480074702
ACAd6a,0.004384018041373208,0.004384018041373208,0.003651573671231713,0.005116462476144051,0.005116462476144051,0.003651573671231713,False,480074702
ACAd6b,0.005024663493820278,0.005024663493820278,0.005048323982555277,0.005001002883000167,0.005001002883000167,0.005048323982555277,False,480074702
ACAv,0.0028611593800783753,0.0028611593800783753,0.00274559819440432,0.0029767205657524206,0.0029767205657524206,0.00274559819440432,False,480074702
ACAv1,0.006948088046578879,0.006948088046578879,0.006701434828937608,0.007194741325838526,0.007194741325838526,0.006701434828937608,False,480074702
ACAv2/3,0.0022249870356968915,0.0022249870356968915,0.0023031891811114936,0.0021467848908481384,0.0021467848908481384,0.0023031891811114936,False,480074702
ACAv5,0.0014664430159552185,0.0014664430159552185,0.0013011716851906063,0.001631714363067241,0.001631714363067241,0.0013011716851906063,False,480074702
ACAv6a,0.002234630634970382,0.002234630634970382,0.00218496118468462,0.002284300082919771,0.002284300082919771,0.00218496118468462,False,480074702
ACAv6b,0.002715538480495138,0.002715538480495138,0.0024592162980455684,0.002971860690334417,0.002971860690334417,0.0024592162980455684,False,480074702
ACB,0.01429006415053221,0.01429006415053221,0.01408468928129879,0.014495438922634673,0.014495438922634673,0.01408468928129879,False,480074702
ACVII,0.005757764307063396,0.005757764307063396,0.004404765274375661,0.00711076332954688,0.00711076332954688,0.004404765274375661,False,480074702
AD,0.008287795170304684,0.008287795170304684,0.008799829633733196,0.00777576066037679,0.00777576066037679,0.008799829633733196,False,480074702
ADP,0.0012382454945040026,0.0012382454945040026,0.0010994426200340748,0.0013770483727057335,0.0013770483727057335,0.0010994426200340748,False,480074702
AHN,0.0053574283484880535,0.0053574283484880535,0.00575141904100743,0.004963437710011924,0.004963437710011924,0.00575141904100743,False,480074702
AI,0.035832033132896644,0.035832033132896644,0.036177587825004465,0.035486478440788796,0.035486478440788796,0.036177587825004465,False,480074702
AId,0.030937654841635392,0.030937654841635392,0.031178122490544892,0.030697187192725895,0.030697187192725895,0.031178122490544892,False,480074702
AId1,0.03578471088412914,0.03578471088412914,0.03626256203169762,0.035306859593401935,0.035306859593401935,0.03626256203169762,False,480074702
AId2/3,0.03059781353527487,0.03059781353527487,0.031253023733751224,0.02994260367886455,0.02994260367886455,0.031253023733751224,False,480074702
AId5,0.029400352820943318,0.029400352820943318,0.03002186797384641,0.028778837691061182,0.028778837691061182,0.03002186797384641,False,480074702
AId6a,0.03033973130295521,0.03033973130295521,0.029298077274415812,0.031381385661006775,0.031381385661006775,0.029298077274415812,False,480074702
AId6b,0.049064151168164205,0.049064151168164205,0.047939797296567055,0.05018850577762353,0.05018850577762353,0.047939797296567055,False,480074702
AIp,0.049097302198699296,0.049097302198699296,0.04925907284382359,0.04893553155357497,0.04893553155357497,0.04925907284382359,False,480074702
AIp1,0.04796781663998314,0.04796781663998314,0.04897006904648153,0.046965564547644986,0.046965564547644986,0.04897006904648153,False,480074702
AIp2/3,0.03955586553081334,0.03955586553081334,0.04016046793437683,0.03895126311951743,0.03895126311951743,0.04016046793437683,False,480074702
AIp5,0.05498537459577384,0.05498537459577384,0.05572757932241075,0.05424316986463971,0.05424316986463971,0.05572757932241075,False,480074702
AIp6a,0.05833545142225766,0.05833545142225766,0.05611940204762509,0.060551501174632,0.060551501174632,0.05611940204762509,False,480074702
AIp6b,0.033972245059685595,0.033972245059685595,0.028738519316539167,0.039205971034243704,0.039205971034243704,0.028738519316539167,False,480074702
AIv,0.02772396318026192,0.02772396318026192,0.02855305682772674,0.026894869532797065,0.026894869532797065,0.02855305682772674,False,480074702
AIv1,0.0318657177493631,0.0318657177493631,0.03382799348983092,0.029903441810529292,0.029903441810529292,0.03382799348983092,False,480074702
AIv2/3,0.021556824082265523,0.021556824082265523,0.022881300777314824,0.0202323473370598,0.0202323473370598,0.022881300777314824,False,480074702
AIv5,0.02698575119301889,0.02698575119301889,0.02763642118370619,0.02633508148719551,0.02633508148719551,0.02763642118370619,False,480074702
AIv6a,0.046524490291657256,0.046524490291657256,0.044747035096497786,0.04830194571586621,0.04830194571586621,0.044747035096497786,False,480074702
AIv6b,0.03247856847833453,0.03247856847833453,0.0300271557687665,0.034929980780361816,0.034929980780361816,0.0300271557687665,False,480074702
AM,0.012881543878188033,0.012881543878188033,0.014289253117586373,0.011473834638789687,0.011473834638789687,0.014289253117586373,False,480074702
AMB,0.0006247664514919457,0.0006247664514919457,0.0005903972539344015,0.00065913564904949,0.00065913564904949,0.0005903972539344015,False,480074702
AMBd,0.0008602322571375837,0.0008602322571375837,0.0009078073995368513,0.00081265711050943,0.00081265711050943,0.0009078073995368513,False,480074702
AMBv,0.00039653249231467265,0.00039653249231467265,0.00028273571297175536,0.0005103292656713001,0.0005103292656713001,0.00028273571297175536,False,480074702
AMd,0.012842420450565491,0.012842420450565491,0.014069682649414947,0.01161515825297098,0.01161515825297098,0.014069682649414947,False,480074702
AMv,0.012938992422276387,0.012938992422276387,0.01461166843582758,0.011266316408043025,0.011266316408043025,0.01461166843582758,False,480074702
AN,0.00029711990325094955,0.00029711990325094955,0.0003179633389153541,0.00027627646758654316,0.00027627646758654316,0.0003179633389153541,False,480074702
ANcr1,0.00037212940575149784,0.00037212940575149784,0.0004462621136553771,0.000297996698708561,0.000297996698708561,0.0004462621136553771,False,480074702
ANcr2,0.00021357139127965212,0.00021357139127965212,0.0001750591642956809,0.00025208361889646425,0.00025208361889646425,0.0001750591642956809,False,480074702
AOB,0.007704220526734441,0.007704220526734441,0.0082614115376916,0.007147029515777286,0.007147029515777286,0.0082614115376916,False,480074702
AOBgl,0.00253320655714316,0.00253320655714316,0.0024360631079616466,0.00263034997760768,0.00263034997760768,0.0024360631079616466,False,480074702
AOBgr,0.013258404390493675,0.013258404390493675,0.013607654790393988,0.01290915408753788,0.01290915408753788,0.013607654790393988,False,480074702
AOBmi,0.006172119775393606,0.006172119775393606,0.007258977916450237,0.005085261622490493,0.005085261622490493,0.007258977916450237,False,480074702
AON,0.04140018686570212,0.04140018686570212,0.04208486476916283,0.040715509025687914,0.040715509025687914,0.04208486476916283,False,480074702
AP,9.408078367309574e-05,9.408078367309574e-05,9.252393465429486e-05,9.563763196636634e-05,9.563763196636634e-05,9.252393465429486e-05,False,480074702
APN,0.014137079746812935,0.014137079746812935,0.014316706117205018,0.013957453578905168,0.013957453578905168,0.014316706117205018,False,480074702
APr,0.0006913508357173949,0.0006913508357173949,0.0006600682924499615,0.0007226333711059712,0.0007226333711059712,0.0006600682924499615,False,480074702
AQ,0.0010750823961839747,0.0010750823961839747,0.0009851372927641559,0.0011650281994661344,0.0011650281994661344,0.0009851372927641559,False,480074702
ARH,0.0011677005305879636,0.0011677005305879636,0.0012190100596853593,0.0011163909927062996,0.0011163909927062996,0.0012190100596853593,False,480074702
ASO,0.0053003914706830175,0.0053003914706830175,0.005425685953014158,0.005175097044411803,0.005175097044411803,0.005425685953014158,False,480074702
AT,0.020011028045199577,0.020011028045199577,0.022730655920167903,0.01729140033421571,0.01729140033421571,0.022730655920167903,False,480074702
ATN,0.012969105014469927,0.012969105014469927,0.013882890393838837,0.012055319635101017,0.012055319635101017,0.013882890393838837,False,480074702
AUD,0.0019869191418491364,0.0019869191418491364,0.001910094002771932,0.002063744280926338,0.002063744280926338,0.001910094002771932,False,480074702
AUDd,0.0015749640840764987,0.0015749640840764987,0.00143626088964726,0.001713667278505742,0.001713667278505742,0.00143626088964726,False,480074702
AUDd1,0.002522771719620048,0.002522771719620048,0.0019812525423048713,0.0030642909197922336,0.0030642909197922336,0.0019812525423048713,False,480074702
AUDd2/3,0.0005724294805364145,0.0005724294805364145,0.0005390886506574907,0.00060577031908904,0.00060577031908904,0.0005390886506574907,False,480074702
AUDd4,0.0007851922692330234,0.0007851922692330234,0.0009078129398858199,0.0006625715999689217,0.0006625715999689217,0.0009078129398858199,False,480074702
AUDd5,0.0016501532268023609,0.0016501532268023609,0.0014850890786874383,0.0018152173915268331,0.0018152173915268331,0.0014850890786874383,False,480074702
AUDd6a,0.002271480773979781,0.002271480773979781,0.00235487900699806,0.002188082506472685,0.002188082506472685,0.00235487900699806,False,480074702
AUDd6b,0.0045916015787290715,0.0045916015787290715,0.0037389308097772202,0.005444272347267514,0.005444272347267514,0.0037389308097772202,False,480074702
AUDp,0.001475521814522051,0.001475521814522051,0.0014481379213782805,0.0015029057076658154,0.0015029057076658154,0.0014481379213782805,False,480074702
AUDp1,0.001319069872051155,0.001319069872051155,0.001203110481378614,0.0014350292494781961,0.0014350292494781961,0.001203110481378614,False,480074702
AUDp2/3,0.0005352382720897542,0.0005352382720897542,0.0006540945243614045,0.0004163820234680091,0.0004163820234680091,0.0006540945243614045,False,480074702
AUDp4,0.0008907288786881223,0.0008907288786881223,0.001079722467693486,0.000701735300390247,0.000701735300390247,0.001079722467693486,False,480074702
AUDp5,0.0017249753444015794,0.0017249753444015794,0.0017038653568306292,0.0017460853141528527,0.0017460853141528527,0.0017038653568306292,False,480074702
AUDp6a,0.002543632788670712,0.002543632788670712,0.00234929569269294,0.0027379698871299934,0.0027379698871299934,0.00234929569269294,False,480074702
AUDp6b,0.004081359508753596,0.004081359508753596,0.0033037926099495603,0.004858926419353768,0.004858926419353768,0.0033037926099495603,False,480074702
AUDpo,0.0008415421893942413,0.0008415421893942413,0.0007393872924669174,0.0009436970863215598,0.0009436970863215598,0.0007393872924669174,False,480074702
AUDpo1,0.0008103991310542103,0.0008103991310542103,0.0006655528287410253,0.0009552454335789472,0.0009552454335789472,0.0006655528287410253,False,480074702
AUDpo2/3,0.00023690956825127835,0.00023690956825127835,0.0001820067758671897,0.00029181235549912023,0.00029181235549912023,0.0001820067758671897,False,480074702
AUDpo4,0.00039310629686795004,0.00039310629686795004,0.00040134848823071003,0.00038486410485345004,0.00038486410485345004,0.00040134848823071003,False,480074702
AUDpo5,0.0008016491893460332,0.0008016491893460332,0.0008247244346421001,0.0007785739529935896,0.0007785739529935896,0.0008247244346421001,False,480074702
AUDpo6a,0.001961124038310888,0.001961124038310888,0.00170209046918896,0.0022201576121005664,0.0022201576121005664,0.00170209046918896,False,480074702
AUDpo6b,0.0033355070194733814,0.0033355070194733814,0.00206650946056467,0.004604504554707461,0.004604504554707461,0.00206650946056467,False,480074702
AUDv,0.003252248054501906,0.003252248054501906,0.003166859059739269,0.003337637049264549,0.003337637049264549,0.003166859059739269,False,480074702
AUDv1,0.0028015100551538586,0.0028015100551538586,0.003234843862992396,0.0023681762682826587,0.0023681762682826587,0.003234843862992396,False,480074702
